subject,accuracy
3,0.8617021276595744
3,0.8472222222222222
3,0.8275862068965517
3,0.8505747126436781
3,0.8148148148148148
3,0.9305555555555556
3,0.8850574712643678
3,0.7962962962962963
3,0.7692307692307693
3,0.8375
3,0.8457446808510638
3,0.8611111111111112
3,0.8448275862068966
3,0.8055555555555556
3,0.7125
3,0.8130081300813008
3,0.8045977011494253
3,0.7962962962962963
3,0.8390804597701149
3,0.8888888888888888
3,0.8514851485148515
3,0.8316831683168316
3,0.8875
3,0.8362068965517241
3,0.7777777777777778
3,0.781021897810219
3,0.8448275862068966
3,0.8307692307692308
3,0.8277777777777777
3,0.7916666666666666
3,0.8055555555555556
3,0.8191489361702128
3,0.7794871794871795
3,0.8625
3,0.8723404255319149
3,0.8936170212765957
3,0.7931034482758621
3,0.8292682926829268
3,0.8415841584158416
3,0.8448275862068966
3,0.7777777777777778
