subject,accuracy
2,0.9148936170212766
3,0.8888888888888888
4,0.8850574712643678
5,0.9195402298850575
6,0.8055555555555556
7,0.8611111111111112
8,0.896551724137931
9,0.8611111111111112
10,0.9384615384615385
11,0.925
12,0.8882978723404256
13,0.9166666666666666
14,0.8103448275862069
15,0.875
16,0.95
17,0.9024390243902439
18,0.8505747126436781
19,0.8518518518518519
20,0.9310344827586207
21,0.9861111111111112
22,0.9207920792079208
23,0.8712871287128713
24,0.925
25,0.8189655172413793
26,0.9027777777777778
28,0.7956204379562044
29,0.8362068965517241
30,0.8307692307692308
31,0.7833333333333333
32,0.9027777777777778
33,0.9444444444444444
34,0.8829787234042553
35,0.9025641025641026
36,0.9
37,0.776595744680851
38,0.8829787234042553
39,0.8706896551724138
40,0.9024390243902439
41,0.8415841584158416
42,0.8620689655172413
43,0.8888888888888888
