subjects,train_losses,valid_losses,test_loss,train_accs,test_loss,test_acc,training_time,best_epoch
2,0.421392743786176,1.3493224382400513,1.5346999168395996,85.62691131498471,80.85106382978722,85.1063829787234,6.290990114212036,22
3,0.40130501240491867,0.29725149273872375,0.19577616453170776,78.17460317460318,88.88888888888889,93.05555555555556,4.584997653961182,79
4,0.3701182961463928,0.7130134701728821,0.8991328477859497,75.57755775577559,90.69767441860465,90.69767441860465,5.083001136779785,38
5,0.3571236252784729,0.7043813467025757,0.8925775289535522,84.15841584158416,90.69767441860465,82.55813953488372,5.14900016784668,50
6,0.30335477491219837,0.95175701379776,1.5288546085357666,79.8941798941799,85.18518518518519,86.11111111111111,6.293001174926758,52
7,0.37424038350582123,1.1600064039230347,0.5255711674690247,79.76190476190477,88.88888888888889,87.5,4.263002634048462,53
8,0.3197823643684387,1.2830111980438232,0.753812313079834,67.98679867986799,76.74418604651163,81.3953488372093,5.144999742507935,34
9,0.36119071145852405,0.2095678597688675,1.9256666898727417,69.04761904761905,88.88888888888889,75.92592592592592,6.3160011768341064,73
10,0.3544170558452606,4.059627056121826,0.4799628257751465,70.92511013215858,90.625,90.76923076923077,4.05400013923645,28
11,0.47267345786094667,0.27830469608306885,0.8441887497901917,80.14440433212997,87.5,82.27848101265823,4.992001533508301,78
12,0.2826521545648575,1.0796372294425964,2.456437110900879,84.42748091603053,86.05385638297872,84.49197860962568,10.773001432418823,34
13,0.35884692271550495,0.1775570660829544,1.082689881324768,77.24867724867724,92.5925925925926,87.03703703703704,6.3969995975494385,91
14,0.43638468214443754,1.3052165508270264,0.8720316290855408,74.44168734491315,82.75862068965517,76.52173913043478,7.206996917724609,52
15,0.33783480525016785,0.1960633546113968,0.4327049255371094,78.17460317460318,91.66666666666666,93.05555555555556,4.417003154754639,86
16,0.4761197566986084,0.8969152569770813,0.7382910847663879,59.92779783393502,85.0,84.81012658227847,4.8650007247924805,29
17,0.37820595502853394,0.48942312598228455,0.9235827326774597,89.04428904428904,91.80327868852459,88.52459016393442,7.250000476837158,70
18,0.4565805017948151,0.7166094779968262,0.6062705516815186,80.85808580858085,86.04651162790698,86.04651162790698,5.206000328063965,55
19,0.36898113787174225,2.4283432960510254,0.9052145481109619,81.48148148148148,79.62962962962963,92.5925925925926,6.276001691818237,23
20,0.3240755647420883,1.464786410331726,0.9499019980430603,85.47854785478548,90.69767441860465,91.86046511627907,5.277998924255371,47
21,0.3825458064675331,0.960276186466217,0.5490260124206543,71.42857142857143,83.33333333333334,91.66666666666666,4.320000410079956,50
22,0.426608145236969,0.5028097629547119,1.2486311197280884,62.03966005665722,86.0,82.17821782178217,6.168003082275391,88
23,0.32207302500804263,0.8720275163650513,1.3583511114120483,83.28611898016997,90.0,84.15841584158416,5.91399621963501,32
24,0.25351974964141843,0.7712503671646118,0.8658545613288879,81.94945848375451,90.0,88.60759493670885,4.9300007820129395,29
25,0.3648403286933899,0.9491229057312012,1.0154722929000854,72.45657568238212,86.20689655172413,87.82608695652175,7.023000001907349,48
26,0.3098360598087311,0.3283420503139496,1.077296495437622,71.03174603174604,88.88888888888889,84.72222222222221,4.501000642776489,48
28,0.3255137838423252,3.6211520433425903,1.3940110206604004,78.28810020876827,71.96691176470588,86.13138686131386,8.280000448226929,31
29,0.3076266029051372,1.5189129114151,2.031803846359253,87.09677419354838,87.93103448275862,86.08695652173914,6.931578636169434,30
30,0.5846601128578186,0.5312689542770386,0.32540982961654663,71.36563876651982,78.125,87.6923076923077,4.087999582290649,99
31,0.38062007129192355,0.8137589395046234,2.836088180541992,78.25396825396825,90.53819444444444,85.0,10.2520010471344,33
32,0.3651585429906845,0.561873197555542,0.6417132019996643,78.17460317460318,86.11111111111111,83.33333333333334,4.350001335144043,57
33,0.3139551406105359,4.8865885734558105,0.9596509337425232,83.86243386243386,85.18518518518519,87.03703703703704,6.289001226425171,16
34,0.40263372162977856,1.0959824323654175,0.7640741467475891,69.41896024464832,82.97872340425532,81.91489361702128,5.861003637313843,65
35,0.29674768447875977,3.4186946153640747,2.6782119274139404,83.40675477239354,76.94104381443299,82.4742268041237,11.23099970817566,20
36,0.28096277713775636,0.49768322706222534,0.49201077222824097,82.67148014440433,85.0,92.40506329113924,5.017999649047852,72
37,0.4873862713575363,0.6355489492416382,0.9083134531974792,61.46788990825688,85.1063829787234,86.17021276595744,5.736999750137329,41
38,0.27487952013810474,0.5176387429237366,0.6132306456565857,84.70948012232415,85.1063829787234,88.29787234042553,5.665000677108765,66
39,0.33429279710565296,1.2153931856155396,1.1413922309875488,83.12655086848635,91.37931034482759,84.34782608695653,6.75600004196167,44
40,0.3026078726564135,0.6428843140602112,1.715069055557251,82.75058275058275,88.52459016393442,85.24590163934425,7.13700008392334,55
41,0.5621667951345444,0.5060740113258362,0.5125531554222107,71.671388101983,90.0,89.10891089108911,6.05500054359436,83
42,0.3307522620473589,1.3270479440689087,2.110222578048706,83.12655086848635,82.75862068965517,80.8695652173913,6.749997615814209,26
43,0.41542623937129974,0.5146117210388184,0.502034068107605,78.17460317460318,83.33333333333334,73.61111111111111,4.251999139785767,81
