subjects,train_losses,valid_losses,test_loss,train_accs,test_loss,test_acc,training_time,best_epoch
1,0.01660831615771984,1.2408514746898112,1.4963841280516457,99.00110987791344,82.64316402631091,84.23975443638315,62.59106755256653,2
2,8.184186803687639e-05,1.6105044782161713,0.7034693708022436,100.0,82.11436170212767,89.30629432624113,11.746742963790894,2
3,0.00012356102297417237,0.7471051362344951,0.8233725329240164,100.0,91.14583333333333,95.54398148148148,8.508970737457275,1
4,7.436432533722837e-05,0.8999395668506622,0.6110539883375168,100.0,87.93604651162791,90.78246124031007,10.143129825592041,5
5,0.001918172735895496,1.6298145055770874,0.8220900495847067,100.0,82.48546511627907,91.30329457364341,10.105640172958374,8
6,5.592543989981399e-05,0.8686666637659073,1.4330297783017159,100.0,85.70601851851852,86.5306712962963,12.8379487991333,6
7,0.00013288343484418874,1.4198986887931824,1.0022394955158234,100.0,89.75694444444444,90.50925925925925,9.00675630569458,10
8,0.00021810685393575113,0.3146177920862101,1.250097672144572,100.0,86.37354651162791,85.58624031007753,10.623947381973267,14
9,0.00024688618426201475,0.48911114037036896,0.5107292290776968,100.0,89.75694444444444,87.35532407407408,12.77495265007019,6
10,0.00015208744535044616,0.8780104517936707,0.8616323838359676,100.0,84.375,85.49679487179488,7.787702798843384,9
11,0.0003006621117391559,2.6356188654899597,0.9514243298520645,100.0,79.375,85.4628164556962,9.16608715057373,6
12,0.004340030476929054,1.3080610831578572,1.5118287007013957,99.84732824427482,81.66001773049645,85.69314468211526,23.037303686141968,4
13,8.776238746577292e-05,0.8567164391279221,0.525064904242754,100.0,86.63194444444444,93.30150462962963,12.939785957336426,6
14,0.04289853289866677,1.032813400030136,0.978460781276226,99.50372208436724,85.12931034482759,84.84601449275362,13.473939180374146,1
15,9.659148645368987e-05,0.03414574929047376,0.22911966033279896,100.0,97.04861111111111,93.98148148148148,8.40896987915039,13
16,5.124241834487798e-05,0.8622497320175171,0.9471725225448608,100.0,80.625,86.50448312236286,9.461455345153809,2
17,0.0004877357997210246,0.8600655198097229,0.9462516158819199,100.0,84.88729508196721,85.7091017759563,15.734513759613037,4
18,0.00014194685409165685,0.5903382673859596,1.17250756919384,100.0,89.09883720930233,84.2781007751938,10.751034021377563,1
19,0.0006113352301326813,0.41228584945201874,1.188619370572269,100.0,92.24537037037038,84.89583333333334,12.595298528671265,41
20,0.023172049458662514,2.675320625305176,0.8479992945988973,100.0,75.87209302325581,87.26986434108528,10.128931045532227,3
21,0.002038425001956057,0.18055958673357964,1.722703218460083,100.0,91.14583333333333,83.9699074074074,8.401598453521729,45
22,0.0005205424921731113,0.4447042644023895,1.0085453743940889,100.0,90.3125,82.92723803630363,12.311325550079346,5
23,0.0007050364714965932,1.2736837267875671,0.5936021708403132,100.0,85.1875,83.9044451320132,12.5752534866333,2
24,0.0006069986566217267,0.2655445784330368,1.4241018493970234,100.0,93.125,85.04087552742617,9.234019994735718,48
25,0.0015932370259598917,0.9738733768463135,0.6571725532412529,100.0,86.85344827586206,88.44995471014492,13.41987681388855,7
26,0.015173659527135896,0.26666967239725636,0.40046287023384747,99.20634920634922,88.19444444444444,87.96296296296298,8.425012111663818,16
27,0.008379043484302727,1.0672613581021626,1.8311403791109722,100.0,84.24322289156626,80.46278865461848,20.347633838653564,3
28,0.018081882324471128,0.19025576987769455,2.1304150104522703,100.0,93.90318627450979,76.00479014598541,15.974167108535767,49
29,0.008026994073029177,0.8899575471878052,1.2689550518989563,100.0,85.29094827586206,78.50769927536231,13.45575737953186,3
30,0.00033724362947396,5.5835490226745605,0.31342372298217924,100.0,65.625,92.7403846153846,8.7907395362854,11
31,0.006934765308142232,1.3263001839319866,1.0702482263247173,100.0,78.00925925925925,86.18055555555556,27.99345064163208,1
32,0.00030737700092231535,0.3494763416238129,1.0567331910133362,100.0,91.14583333333333,89.0625,11.430288791656494,8
33,0.0006830443121543794,0.7046430259943008,1.2205737365111418,100.0,85.70601851851852,86.47280092592592,15.78309440612793,5
34,0.0005186391860909432,1.3285690546035767,1.1619513432184856,100.0,81.05053191489361,80.09751773049645,13.606315612792969,14
35,0.00428237015909293,0.8714594095944221,1.5857733960438054,99.70631424375918,84.0246456185567,83.53054430535099,28.29490900039673,7
36,0.0058529571106191725,0.5653199627995491,0.7899638017018636,98.91696750902527,84.6875,88.48892405063292,12.086144208908081,3
37,4.7556774213510586e-05,0.7765075340867043,0.5694068040077885,100.0,84.24202127659575,90.91312056737588,13.728917837142944,5
38,0.0014477179376461374,0.23504675552248955,1.7649304866790771,100.0,92.12101063829788,84.07579787234043,14.006012678146362,38
39,0.012766384513313894,1.1761595010757446,2.0773823112249374,99.75186104218362,83.56681034482759,85.93070652173913,16.719974756240845,4
40,0.004709157953487063,0.6198345422744751,0.8040009513497353,99.76689976689977,87.19262295081967,87.60672814207649,17.52231454849243,7
41,0.00028008272086547475,1.888194590806961,1.0534101966768503,100.0,72.375,85.58426155115512,14.513776302337646,4
42,0.002611077097334111,0.7819360941648483,1.690152257680893,100.0,83.72844827586206,76.29076086956522,16.751584768295288,3
43,3.953975840431667e-05,1.3391190767288208,0.4124397940953107,100.0,83.85416666666667,94.03935185185185,10.356603384017944,12
