subject,accuracy
2,0.8014184397163121
3,0.9074074074074074
4,0.9538461538461539
5,0.9153846153846154
6,0.8333333333333334
7,0.8796296296296297
8,0.8769230769230769
9,0.9012345679012346
10,0.9285714285714286
11,0.8571428571428571
12,0.8149466192170819
13,0.8580246913580247
14,0.884393063583815
15,0.8611111111111112
16,0.865546218487395
17,0.875
18,0.8846153846153846
19,0.8641975308641975
20,0.8307692307692308
21,0.9351851851851852
22,0.8552631578947368
23,0.8486842105263158
24,0.8991596638655462
25,0.884393063583815
26,0.9074074074074074
28,0.8203883495145631
29,0.9017341040462428
30,0.8979591836734694
31,0.8518518518518519
32,0.8703703703703703
33,0.8641975308641975
34,0.8936170212765957
35,0.8424657534246576
36,0.865546218487395
37,0.8368794326241135
38,0.8226950354609929
39,0.8554913294797688
40,0.8478260869565217
41,0.8157894736842105
42,0.8208092485549133
43,0.9166666666666666
